Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-03 16:47:31 | WARD_A_HR_01 | 146 | CRITICAL
2026-06-03 16:47:31 | WARD_A_HR_02 | 69 | NORMAL
2026-06-03 16:47:31 | WARD_A_HR_03 | 108 | CRITICAL
2026-06-03 16:47:31 | WARD_A_HR_04 | 118 | CRITICAL
2026-06-03 16:47:31 | WARD_A_HR_05 | 54 | CRITICAL
2026-06-03 16:47:32 | WARD_A_HR_01 | 69 | NORMAL
2026-06-03 16:47:32 | WARD_A_HR_02 | 53 | CRITICAL
2026-06-03 16:47:32 | WARD_A_HR_03 | 73 | NORMAL
2026-06-03 16:47:32 | WARD_A_HR_04 | 120 | CRITICAL
2026-06-03 16:47:32 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-03 16:47:33 | WARD_A_HR_01 | 95 | WARNING
2026-06-03 16:47:33 | WARD_A_HR_02 | 150 | CRITICAL
2026-06-03 16:47:33 | WARD_A_HR_03 | 100 | WARNING
2026-06-03 16:47:33 | WARD_A_HR_04 | 130 | CRITICAL
2026-06-03 16:47:33 | WARD_A_HR_05 | 142 | CRITICAL
2026-06-03 16:47:34 | WARD_A_HR_01 | 50 | CRITICAL
2026-06-03 16:47:34 | WARD_A_HR_02 | 88 | NORMAL
2026-06-03 16:47:34 | WARD_A_HR_03 | 57 | CRITICAL
2026-06-03 16:47:34 | WARD_A_HR_04 | 91 | WARNING
2026-06-03 16:47:34 | WARD_A_HR_05 | 147 | CRITICAL
2026-06-03 16:47:35 | WARD_A_HR_01 | 67 | NORMAL
2026-06-03 16:47:35 | WARD_A_HR_02 | 83 | NORMAL
2026-06-03 16:47:35 | WARD_A_HR_03 | 96 | WARNING
2026-06-03 16:47:35 | WARD_A_HR_04 | 57 | CRITICAL
2026-06-03 16:47:35 | WARD_A_HR_05 | 147 | CRITICAL
2026-06-03 16:47:36 | WARD_A_HR_01 | 148 | CRITICAL
2026-06-03 16:47:36 | WARD_A_HR_02 | 49 | CRITICAL
2026-06-03 16:47:36 | WARD_A_HR_03 | 119 | CRITICAL
2026-06-03 16:47:36 | WARD_A_HR_04 | 89 | NORMAL
2026-06-03 16:47:36 | WARD_A_HR_05 | 131 | CRITICAL
2026-06-03 16:47:37 | WARD_A_HR_01 | 77 | NORMAL
2026-06-03 16:47:37 | WARD_A_HR_02 | 84 | NORMAL
2026-06-03 16:47:37 | WARD_A_HR_03 | 116 | CRITICAL
2026-06-03 16:47:37 | WARD_A_HR_04 | 110 | CRITICAL
2026-06-03 16:47:37 | WARD_A_HR_05 | 48 | CRITICAL
2026-06-03 16:47:38 | WARD_A_HR_01 | 146 | CRITICAL
2026-06-03 16:47:38 | WARD_A_HR_02 | 110 | CRITICAL
2026-06-03 16:47:38 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-03 16:47:38 | WARD_A_HR_04 | 113 | CRITICAL
2026-06-03 16:47:38 | WARD_A_HR_05 | 67 | NORMAL
2026-06-03 16:47:39 | WARD_A_HR_01 | 70 | NORMAL
2026-06-03 16:47:39 | WARD_A_HR_02 | 143 | CRITICAL
2026-06-03 16:47:39 | WARD_A_HR_03 | 120 | CRITICAL
2026-06-03 16:47:39 | WARD_A_HR_04 | 91 | WARNING
2026-06-03 16:47:39 | WARD_A_HR_05 | 131 | CRITICAL
2026-06-03 16:47:40 | WARD_A_HR_01 | 116 | CRITICAL
2026-06-03 16:47:40 | WARD_A_HR_02 | 81 | NORMAL
2026-06-03 16:47:40 | WARD_A_HR_03 | 63 | NORMAL
2026-06-03 16:47:40 | WARD_A_HR_04 | 59 | CRITICAL
2026-06-03 16:47:40 | WARD_A_HR_05 | 128 | CRITICAL
2026-06-03 16:47:41 | WARD_A_HR_01 | 70 | NORMAL
2026-06-03 16:47:41 | WARD_A_HR_02 | 91 | WARNING
2026-06-03 16:47:41 | WARD_A_HR_03 | 93 | WARNING
2026-06-03 16:47:41 | WARD_A_HR_04 | 116 | CRITICAL
2026-06-03 16:47:41 | WARD_A_HR_05 | 145 | CRITICAL
2026-06-03 16:47:42 | WARD_A_HR_01 | 109 | CRITICAL
2026-06-03 16:47:42 | WARD_A_HR_02 | 120 | CRITICAL
2026-06-03 16:47:42 | WARD_A_HR_03 | 111 | CRITICAL
2026-06-03 16:47:42 | WARD_A_HR_04 | 87 | NORMAL
2026-06-03 16:47:42 | WARD_A_HR_05 | 65 | NORMAL
2026-06-03 16:47:43 | WARD_A_HR_01 | 116 | CRITICAL
2026-06-03 16:47:43 | WARD_A_HR_02 | 78 | NORMAL
2026-06-03 16:47:43 | WARD_A_HR_03 | 115 | CRITICAL
2026-06-03 16:47:43 | WARD_A_HR_04 | 86 | NORMAL
2026-06-03 16:47:43 | WARD_A_HR_05 | 89 | NORMAL
2026-06-03 16:47:44 | WARD_A_HR_01 | 150 | CRITICAL
2026-06-03 16:47:44 | WARD_A_HR_02 | 133 | CRITICAL
2026-06-03 16:47:44 | WARD_A_HR_03 | 89 | NORMAL
2026-06-03 16:47:44 | WARD_A_HR_04 | 118 | CRITICAL
2026-06-03 16:47:44 | WARD_A_HR_05 | 46 | CRITICAL
2026-06-03 16:47:45 | WARD_A_HR_01 | 57 | CRITICAL
2026-06-03 16:47:45 | WARD_A_HR_02 | 68 | NORMAL
2026-06-03 16:47:45 | WARD_A_HR_03 | 70 | NORMAL
2026-06-03 16:47:45 | WARD_A_HR_04 | 140 | CRITICAL
2026-06-03 16:47:45 | WARD_A_HR_05 | 150 | CRITICAL
2026-06-03 16:47:46 | WARD_A_HR_01 | 132 | CRITICAL
2026-06-03 16:47:46 | WARD_A_HR_02 | 111 | CRITICAL
2026-06-03 16:47:46 | WARD_A_HR_03 | 134 | CRITICAL
2026-06-03 16:47:46 | WARD_A_HR_04 | 122 | CRITICAL
2026-06-03 16:47:46 | WARD_A_HR_05 | 106 | CRITICAL
2026-06-03 16:47:47 | WARD_A_HR_01 | 72 | NORMAL
2026-06-03 16:47:47 | WARD_A_HR_02 | 115 | CRITICAL
2026-06-03 16:47:47 | WARD_A_HR_03 | 140 | CRITICAL
2026-06-03 16:47:47 | WARD_A_HR_04 | 81 | NORMAL
2026-06-03 16:47:47 | WARD_A_HR_05 | 61 | NORMAL
2026-06-03 16:47:48 | WARD_A_HR_01 | 147 | CRITICAL
2026-06-03 16:47:48 | WARD_A_HR_02 | 89 | NORMAL
2026-06-03 16:47:48 | WARD_A_HR_03 | 109 | CRITICAL
2026-06-03 16:47:48 | WARD_A_HR_04 | 80 | NORMAL
2026-06-03 16:47:48 | WARD_A_HR_05 | 88 | NORMAL
2026-06-03 16:47:49 | WARD_A_HR_01 | 87 | NORMAL
2026-06-03 16:47:49 | WARD_A_HR_02 | 68 | NORMAL
2026-06-03 16:47:49 | WARD_A_HR_03 | 88 | NORMAL
2026-06-03 16:47:49 | WARD_A_HR_04 | 132 | CRITICAL
2026-06-03 16:47:49 | WARD_A_HR_05 | 126 | CRITICAL
2026-06-03 16:47:50 | WARD_A_HR_01 | 106 | CRITICAL
2026-06-03 16:47:50 | WARD_A_HR_02 | 137 | CRITICAL
2026-06-03 16:47:50 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-03 16:47:50 | WARD_A_HR_04 | 118 | CRITICAL
2026-06-03 16:47:50 | WARD_A_HR_05 | 131 | CRITICAL
2026-06-03 16:47:51 | WARD_A_HR_01 | 98 | WARNING
2026-06-03 16:47:51 | WARD_A_HR_02 | 66 | NORMAL
2026-06-03 16:47:51 | WARD_A_HR_03 | 64 | NORMAL
2026-06-03 16:47:51 | WARD_A_HR_04 | 109 | CRITICAL
2026-06-03 16:47:51 | WARD_A_HR_05 | 75 | NORMAL
2026-06-03 16:47:52 | WARD_A_HR_01 | 84 | NORMAL
2026-06-03 16:47:52 | WARD_A_HR_02 | 104 | CRITICAL
2026-06-03 16:47:52 | WARD_A_HR_03 | 97 | WARNING
2026-06-03 16:47:52 | WARD_A_HR_04 | 142 | CRITICAL
2026-06-03 16:47:52 | WARD_A_HR_05 | 61 | NORMAL
