Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-03 16:47:31 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-03 16:47:31 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-03 16:47:32 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-03 16:47:32 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-03 16:47:33 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-06-03 16:47:33 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-03 16:47:34 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-03 16:47:34 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-06-03 16:47:35 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-03 16:47:35 | ICU_WATER_RESERVE | 35 | NORMAL
2026-06-03 16:47:36 | FACILITY_WATER_MAIN | 19 | NORMAL
2026-06-03 16:47:36 | ICU_WATER_RESERVE | 24 | NORMAL
2026-06-03 16:47:37 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-03 16:47:37 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-03 16:47:38 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-03 16:47:38 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-06-03 16:47:39 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-03 16:47:39 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-03 16:47:40 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-03 16:47:40 | ICU_WATER_RESERVE | 14 | NORMAL
2026-06-03 16:47:41 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-03 16:47:41 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-03 16:47:42 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-03 16:47:42 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-03 16:47:43 | FACILITY_WATER_MAIN | 39 | HIGH_USAGE
2026-06-03 16:47:43 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-06-03 16:47:44 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-03 16:47:44 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-03 16:47:45 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-06-03 16:47:45 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-03 16:47:46 | FACILITY_WATER_MAIN | 5 | NORMAL
2026-06-03 16:47:46 | ICU_WATER_RESERVE | 14 | NORMAL
2026-06-03 16:47:47 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-03 16:47:47 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-03 16:47:48 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-03 16:47:48 | ICU_WATER_RESERVE | 45 | HIGH_USAGE
2026-06-03 16:47:49 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-03 16:47:49 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-03 16:47:50 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-03 16:47:50 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-03 16:47:51 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-06-03 16:47:51 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-06-03 16:47:52 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-03 16:47:52 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
